attack,back,forward,jump,left,right,sneak,sprint,use,drop,inventory,ESC,camera1,camera2,startImage,hotbar
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2598,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,0.6153942662021781,2599,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2600,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2601,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2602,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,2603,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,2604,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2605,1
0,0,1,0,0,1,0,1,0,0,0,0,-0.6153942662021781,-1.6094986352788734,2606,1
0,0,1,0,0,0,0,1,0,0,0,0,-0.6153942662021781,-0.6153942662021781,2607,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-1.6094986352788734,2608,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,-0.6153942662021781,2609,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-0.6153942662021781,2610,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.6153942662021781,2611,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2612,1
0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,2613,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2614,1
0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2615,1
0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2616,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,-1.6094986352788734,2617,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,-1.6094986352788734,2618,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2619,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.6153942662021781,2620,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2621,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2622,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2623,1
0,0,1,0,0,1,0,0,0,0,0,0,0.6153942662021781,0.6153942662021781,2624,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2625,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,2626,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.6153942662021781,2627,1
0,0,1,1,0,1,0,1,0,0,0,0,0.0,0.6153942662021781,2628,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2629,1
0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,2630,1
0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,2631,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2632,1
0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,2633,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,2634,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2635,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,2636,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2637,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2638,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,2639,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,2640,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,2641,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2642,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,2643,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2644,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2645,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2646,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2647,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2648,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,2649,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2650,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2651,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2652,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2653,1
0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,2654,1
0,0,0,0,0,1,0,0,0,0,0,0,-1.6094986352788734,0.0,2655,1
0,0,0,0,0,1,0,0,0,0,0,0,-5.809483127522302,0.0,2656,1
0,0,1,0,0,1,0,1,0,0,0,0,-5.809483127522302,0.0,2657,1
0,0,0,0,0,0,0,1,0,0,0,0,-5.809483127522302,0.6153942662021781,2658,1
0,0,0,0,0,0,0,1,0,0,0,0,-5.809483127522302,1.6094986352788734,2659,1
0,0,0,0,0,0,0,1,0,0,0,0,-3.2153691330919005,1.6094986352788734,2660,1
0,0,0,0,0,0,0,1,0,0,0,0,-3.2153691330919005,1.6094986352788734,2661,1
0,0,0,0,0,0,0,1,0,0,0,0,-5.809483127522302,3.2153691330919005,2662,1
0,0,0,0,0,0,0,1,0,0,0,0,-3.2153691330919005,1.6094986352788734,2663,1
0,0,0,0,0,0,0,1,0,0,0,0,-1.6094986352788734,0.6153942662021781,2664,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2665,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2666,1
0,0,0,0,0,0,0,1,0,0,0,0,0.6153942662021781,-0.6153942662021781,2667,1
0,0,0,0,0,0,0,1,0,0,0,0,0.6153942662021781,-0.6153942662021781,2668,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,-0.6153942662021781,2669,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,2670,1
0,0,1,0,1,0,0,1,0,0,0,0,1.6094986352788734,0.6153942662021781,2671,1
0,0,0,0,0,0,0,1,0,0,0,0,5.809483127522302,0.6153942662021781,2672,1
0,0,1,0,1,0,0,1,0,0,0,0,5.809483127522302,-0.6153942662021781,2673,1
0,0,1,0,0,0,0,1,0,0,0,0,5.809483127522302,-0.6153942662021781,2674,1
0,0,1,0,0,0,0,0,0,0,0,0,5.809483127522302,-1.6094986352788734,2675,1
0,0,1,0,0,0,0,1,0,0,0,0,5.809483127522302,-1.6094986352788734,2676,1
0,0,1,0,0,0,0,1,0,0,0,0,5.809483127522302,-1.6094986352788734,2677,1
0,0,1,0,0,0,0,1,0,0,0,0,3.2153691330919005,-0.6153942662021781,2678,1
0,0,1,0,0,0,0,1,0,0,0,0,1.6094986352788734,-0.6153942662021781,2679,1
0,0,1,0,0,0,0,0,0,0,0,0,1.6094986352788734,-0.6153942662021781,2680,1
0,0,1,0,0,0,0,1,0,0,0,0,0.6153942662021781,0.0,2681,1
0,0,1,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,2682,1
0,0,1,0,0,0,0,1,0,0,0,0,1.6094986352788734,-0.6153942662021781,2683,1
0,0,1,0,0,0,0,1,0,0,0,0,0.6153942662021781,0.0,2684,1
0,0,1,0,0,0,0,1,0,0,0,0,1.6094986352788734,-0.6153942662021781,2685,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2686,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2687,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2688,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2689,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2690,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2691,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2692,1
0,0,1,1,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,2693,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2694,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2695,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2696,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2697,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2698,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,2699,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2700,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2701,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,2702,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2703,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2704,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,2705,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,2706,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.6153942662021781,2707,1
0,0,1,1,0,0,0,0,0,0,0,0,-1.6094986352788734,5.809483127522302,2708,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,10.0,2709,1
0,0,1,0,0,0,0,0,0,0,0,0,-3.2153691330919005,10.0,2710,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2711,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2712,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,2713,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2714,1
0,0,0,0,0,1,0,1,0,0,0,0,0.6153942662021781,0.0,2715,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2716,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,2717,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,2718,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2719,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2720,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,-0.6153942662021781,2721,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2722,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,-0.6153942662021781,2723,1
0,0,1,0,0,0,0,0,0,0,0,0,0.6153942662021781,-1.6094986352788734,2724,1
0,0,1,0,0,0,0,1,0,0,0,0,0.6153942662021781,-1.6094986352788734,2725,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,2726,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,2727,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,2728,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2729,1
0,0,1,1,1,0,0,1,0,0,0,0,0.0,0.0,2730,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,2731,1
0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,2732,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2733,1
0,0,1,0,0,0,0,1,0,0,0,0,1.6094986352788734,0.0,2734,1
0,0,1,0,0,0,0,1,0,0,0,0,3.2153691330919005,0.6153942662021781,2735,1
0,0,1,0,0,0,0,1,0,0,0,0,3.2153691330919005,1.6094986352788734,2736,1
0,0,1,0,0,0,0,0,0,0,0,0,5.809483127522302,1.6094986352788734,2737,1
0,0,1,0,0,0,0,0,0,0,0,0,3.2153691330919005,3.2153691330919005,2738,1
0,0,1,1,1,0,0,1,0,0,0,0,1.6094986352788734,1.6094986352788734,2739,1
0,0,1,1,0,0,0,0,0,0,0,0,0.6153942662021781,1.6094986352788734,2740,1
0,0,1,1,0,0,0,0,0,0,0,0,0.6153942662021781,0.6153942662021781,2741,1
0,0,1,1,0,0,0,1,0,0,0,0,0.6153942662021781,0.0,2742,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,2743,1
0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,2744,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,2745,1
0,0,0,0,0,0,0,1,0,0,0,0,-0.6153942662021781,0.0,2746,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2747,1
0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2748,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.6153942662021781,2749,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6153942662021781,2750,1
1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2751,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.6153942662021781,2752,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2753,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2754,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2755,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2756,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2757,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2758,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2759,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2760,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2761,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2762,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2763,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2764,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2765,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2766,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2767,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2768,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2769,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2770,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2771,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2772,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2773,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2774,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2775,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2776,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2777,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2778,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2779,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2780,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2781,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2782,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2783,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2784,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2785,1
1,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,10.0,2786,1
1,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,10.0,2787,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2788,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2789,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2790,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2791,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2792,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2793,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2794,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2795,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2796,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2797,1
1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,2798,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2799,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2800,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2801,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2802,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2803,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2804,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2805,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2806,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2807,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2808,1
1,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,-10.0,2809,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.809483127522302,2810,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2811,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2812,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2813,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2814,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2815,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2816,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2817,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2818,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2819,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2820,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2821,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2822,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2823,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2824,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2825,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2826,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2827,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2828,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2829,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2830,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2831,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2832,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2833,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2834,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2835,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2836,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2837,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2838,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2839,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2840,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2841,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2842,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2843,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2844,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2845,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2846,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2847,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2848,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2849,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2850,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2851,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2852,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2853,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2854,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2855,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2856,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2857,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2858,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2859,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2860,1
1,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,3.2153691330919005,2861,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,5.809483127522302,2862,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6153942662021781,2863,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2864,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2865,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2866,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2867,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2868,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2869,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2870,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2871,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2872,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2873,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2874,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2875,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2876,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2877,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2878,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2879,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2880,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2881,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2882,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2883,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2884,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2885,1
1,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,10.0,2886,1
1,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,10.0,2887,1
1,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,1.6094986352788734,2888,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2889,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2890,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2891,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2892,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2893,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2894,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2895,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2896,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2897,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2898,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2899,1
1,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,5.809483127522302,2900,1
1,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,5.809483127522302,2901,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2902,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2903,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2904,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2905,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2906,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2907,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2908,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2909,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2910,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2911,1
1,0,0,0,0,0,0,0,0,0,0,0,5.809483127522302,0.0,2912,1
1,0,0,0,0,0,0,0,0,0,0,0,5.809483127522302,0.0,2913,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2914,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2915,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2916,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2917,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2918,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2919,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2920,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2921,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2922,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2923,1
1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2924,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2925,1
1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2926,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2927,1
1,0,1,0,0,0,0,0,0,0,0,0,1.6094986352788734,-3.2153691330919005,2928,1
1,0,1,0,0,0,0,0,0,0,0,0,1.6094986352788734,-3.2153691330919005,2929,1
1,0,1,0,0,0,0,0,0,0,0,0,0.0,-5.809483127522302,2930,1
1,0,1,0,0,0,0,0,0,0,0,0,0.0,-3.2153691330919005,2931,1
1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2932,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2933,1
1,0,0,0,0,1,0,0,0,0,0,0,0.0,-1.6094986352788734,2934,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2935,1
1,0,0,0,0,1,0,0,0,0,0,0,0.0,-10.0,2936,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.809483127522302,2937,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2938,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2939,1
1,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,-0.6153942662021781,2940,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6153942662021781,2941,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2942,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2943,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2944,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2945,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2946,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2947,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2948,1
1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2949,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2950,1
1,0,1,0,0,0,0,0,0,0,0,0,-0.6153942662021781,-0.6153942662021781,2951,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2952,1
1,0,1,0,0,0,0,0,0,0,0,0,0.0,5.809483127522302,2953,1
1,0,1,0,0,0,0,0,0,0,0,0,-5.809483127522302,10.0,2954,1
